{define A7..            base-fret 1 frets x 0 2 0 2 0}
{define A7...           base-fret 1 frets x 0 2 2 2 3}
{define A7(#5).         base-fret 1 frets 1 0 3 0 2 1}
{define A7/add11.       base-fret 1 frets x 0 0 0 2 0}
{define A7sus4.         base-fret 1 frets x 0 2 0 3 0}
{define A7sus4..        base-fret 1 frets x 0 2 0 3 3}
{define A7sus4...       base-fret 1 frets x 0 2 2 3 3}
{define A7sus4....      base-fret 3 frets 3 x 0 0 1 0}
{define A7sus4.....     base-fret 1 frets x 0 0 0 x 0}
{define Aadd9.          base-fret 1 frets 0 0 2 4 2 0}
{define Aadd9..         base-fret 6 frets x 0 2 1 0 0}
{define Aaug/D.         base-fret 1 frets x x 0 2 2 1}
{define Aaug/G.         base-fret 1 frets 1 0 3 0 2 1}
{define Ab.             base-fret 4 frets 1 3 3 2 1 1}
{define Ab#5.           base-fret 1 frets x 3 2 1 1 0}
{define Ab/A.           base-fret 1 frets x x 1 2 1 4}
{define Ab/F.           base-fret 8 frets x 1 3 1 2 1}
{define Ab/F..          base-fret 1 frets x x 1 1 1 1}
{define Ab/Gb.          base-fret 1 frets x x 1 1 1 2}
{define Ab/Gb..         base-fret 4 frets x x 1 2 1 1}
{define Ab5.            base-fret 4 frets 1 3 3 x x 1}
{define Ab6.            base-fret 8 frets x 1 3 1 2 1}
{define Ab6..           base-fret 1 frets x x 1 1 1 1}
{define Ab7.            base-fret 1 frets x x 1 1 1 2}
{define Ab7..           base-fret 4 frets x x 1 2 1 1}
{define Abdim/E.        base-fret 1 frets 0 2 0 1 0 0}
{define Abdim/E..       base-fret 1 frets 0 2 2 1 3 0}
{define Abdim/E...      base-fret 1 frets x 2 0 1 3 0}
{define Abdim/E....     base-fret 1 frets x x 0 1 0 0}
{define Abdim/Eb....    base-fret 1 frets x x 0 4 4 4}
{define Abdim/F.        base-fret 1 frets x 2 0 1 0 1}
{define Abdim/F..       base-fret 1 frets x x 0 1 0 1}
{define Abdim/F...      base-fret 1 frets x x 3 4 3 4}
{define Abdim7.         base-fret 1 frets x 2 0 1 0 1}
{define Abdim7..        base-fret 1 frets x x 0 1 0 1}
{define Abdim7...       base-fret 1 frets x x 3 4 3 4}
{define Abm.            base-fret 4 frets x x 3 1 1 1}
{define Abm/D.          base-fret 1 frets x x 0 4 4 4}
{define Abm/E.          base-fret 1 frets 0 2 1 1 0 0}
{define Abm/E..         base-fret 4 frets 0 x 3 1 1 0}
{define Abm/E...        base-fret 1 frets x x 1 1 0 0}
{define Abm/Gb...       base-fret 1 frets x x 4 4 4 4}
{define Abm7.           base-fret 1 frets x x 4 4 4 4}
{define Absus.          base-fret 4 frets x x 3 3 1 1}
{define Absus2/F.       base-fret 1 frets x 1 3 1 4 1}
{define Adim/Ab.        base-fret 1 frets x x 1 2 1 4}
{define Adim/E.         base-fret 1 frets 0 3 x 2 4 0}
{define Adim/F.         base-fret 1 frets x x 1 2 1 1}
{define Adim/F..        base-fret 3 frets x x 1 3 2 1}
{define Adim/G.         base-fret 1 frets x x 1 2 1 3}
{define Adim/Gb.        base-fret 1 frets x x 1 2 1 2}
{define Adim7.          base-fret 1 frets x x 1 2 1 2}
{define Am.             base-fret 1 frets x 0 2 2 1 0}
{define Am..            base-fret 5 frets x 0 3 1 1 1}
{define Am...           base-fret 1 frets x 3 2 2 1 0}
{define Am/B.           base-fret 5 frets 0 0 3 1 0 0}
{define Am/B..          base-fret 1 frets x 3 2 2 0 0}
{define Am/D.           base-fret 1 frets x x 0 2 1 0}
{define Am/D..          base-fret 5 frets x x 0 1 1 1}
{define Am/Eb.          base-fret 1 frets 0 3 x 2 4 0}
{define Am/F.           base-fret 1 frets 0 0 3 2 1 0}
{define Am/F..          base-fret 1 frets 1 3 3 2 1 0}
{define Am/F...         base-fret 1 frets 1 x 2 2 1 0}
{define Am/F....        base-fret 1 frets x x 2 2 1 1}
{define Am/F.....       base-fret 1 frets x x 3 2 1 0}
{define Am/G.           base-fret 1 frets 0 0 2 0 1 3}
{define Am/G..          base-fret 1 frets x 0 2 0 1 0}
{define Am/G...         base-fret 1 frets x 0 2 2 1 3}
{define Am/G....        base-fret 5 frets x 0 1 1 1 4}
{define Am/Gb.          base-fret 1 frets x 0 2 2 1 2}
{define Am/Gb..         base-fret 1 frets x x 2 2 1 2}
{define Am6.            base-fret 1 frets x 0 2 2 1 2}
{define Am6..           base-fret 1 frets x x 2 2 1 2}
{define Am7.            base-fret 1 frets 0 0 2 0 1 3}
{define Am7..           base-fret 1 frets x 0 2 0 1 0}
{define Am7...          base-fret 1 frets x 0 2 2 1 3}
{define Am7....         base-fret 5 frets x 0 1 1 1 4}
{define Am7(b5).        base-fret 1 frets x x 1 2 1 3}
{define Am7/add11.      base-fret 5 frets x 1 3 1 4 0}
{define Amaj7.          base-fret 1 frets x 0 2 1 2 0}
{define Amin/maj9.      base-fret 5 frets x 0 2 1 1 3}
{define Asus.           base-fret 1 frets 0 0 2 2 3 0}
{define Asus..          base-fret 1 frets x 0 2 2 3 0}
{define Asus...         base-fret 5 frets 1 1 3 3 x 0}
{define Asus....        base-fret 1 frets x 0 0 2 3 0}
{define Asus2.          base-fret 1 frets 0 0 2 2 0 0}
{define Asus2..         base-fret 1 frets 0 0 2 4 0 0}
{define Asus2...        base-fret 1 frets 0 2 2 2 0 0}
{define Asus2....       base-fret 1 frets x 0 2 2 0 0}
{define Asus2.....      base-fret 1 frets x x 2 2 0 0}
{define Asus2/Ab.       base-fret 1 frets x 0 2 1 0 0}
{define Asus2/C.        base-fret 5 frets 0 0 3 1 0 0}
{define Asus2/C..       base-fret 1 frets x 3 2 2 0 0}
{define Asus2/D.        base-fret 1 frets 0 2 0 2 0 0}
{define Asus2/D..       base-fret 1 frets x 2 0 2 3 0}
{define Asus2/Db.       base-fret 1 frets 0 0 2 4 2 0}
{define Asus2/Db..      base-fret 6 frets x 0 2 1 0 0}
{define Asus2/Eb.       base-fret 1 frets x 2 1 2 0 0}
{define Asus2/F.        base-fret 1 frets 0 0 3 2 0 0}
{define Asus2/G.        base-fret 1 frets x 0 2 0 0 0}
{define Asus2/G..       base-fret 4 frets x 0 2 1 2 0}
{define Asus2/Gb.       base-fret 1 frets x 0 4 4 0 0}
{define Asus2/Gb..      base-fret 2 frets x 1 3 1 4 1}
{define Asus4/Ab.       base-fret 1 frets 4 x 0 2 3 0}
{define Asus4/B.        base-fret 1 frets 0 2 0 2 0 0}
{define Asus4/Bb.       base-fret 1 frets 0 1 x 2 3 0}
{define Asus4/C.        base-fret 1 frets x x 0 2 1 0}
{define Asus4/C..       base-fret 5 frets x x 0 1 1 1}
{define Asus4/Db.       base-fret 1 frets x 0 0 2 2 0}
{define Asus4/Db..      base-fret 1 frets x x 0 2 2 0}
{define Asus4/Db...     base-fret 5 frets x x 0 2 1 1}
{define Asus4/Db....    base-fret 9 frets x x 0 1 2 1}
{define Asus4/F.ets x x 0 2 2 0}
{define Asus4/Db...     base-fret 5 frets x x 0 2 1 1}
{define Asus4/Db....    base-fret 9 frets x x 0 1 2 1}
{define Asus4/F.        base-fret 6 frets x x 2 2 1 0}
{define Asus4/G.        base-fret 1 frets x 0 2 0 3 0}
{define Asus4/G..       base-fret 1 frets x 0 2 0 3 3}
{define Asus4/G...      base-fret 1 frets x 0 2 2 3 3}
{define Asus4/G....     base-fret 1 frets x 0 0 0 x 0}
{define Asus4/Gb.       base-fret 1 frets 0 0 0 2 3 2}
{define Asus4/Gb..      base-fret 1 frets 0 0 4 2 3 0}
{define Asus4/Gb...     base-fret 1 frets 2 x 0 2 3 0}
{define Asus4/Gb....    base-fret 1 frets x 0 2 2 3 2}
{define Asus4/Gb.....   base-fret 1 frets x x 2 2 3 2}
{define Asus4/Gb......  base-fret 2 frets x 4 3 1 2 0}
{define Asus4/Gb....... base-fret 7 frets x 3 1 1 x 0}
{define B.              base-fret 1 frets x 2 4 4 4 2}
{define B#5.            base-fret 1 frets 3 2 1 0 0 3}
{define B#5..           base-fret 1 frets 3 x 1 0 0 3}
{define B/A.            base-fret 1 frets 2 x 1 2 0 2}
{define B/A..           base-fret 1 frets x 0 1 2 0 2}
{define B/A...          base-fret 1 frets x 2 1 2 0 2}
{define B/A....         base-fret 1 frets x 2 4 2 4 2}
{define B/Ab.           base-fret 1 frets x x 4 4 4 4}
{define B/E.            base-fret 1 frets x 2 2 4 4 2}
{define B/E..           base-fret 1 frets x x 4 4 4 0}
{define B5.             base-fret 1 frets x 2 4 4 x 2}
{define B6.             base-fret 1 frets x x 4 4 4 4}
{define B7.             base-fret 1 frets 2 x 1 2 0 2}
{define B7..            base-fret 1 frets x 0 1 2 0 2}
{define B7...           base-fret 1 frets x 2 1 2 0 2}
{define B7....          base-fret 1 frets x 2 4 2 4 2}
{define B7/add11.       base-fret 1 frets 0 0 4 4 4 0}
{define B7/add11..      base-fret 1 frets 0 2 1 2 0 2}
{define B7sus4.         base-fret 1 frets x 0 4 4 0 0}
{define B7sus4..        base-fret 2 frets x 1 3 1 4 1}
{define Baug/E.         base-fret 1 frets 3 x 1 0 0 0}
{define Baug/E..        base-fret 1 frets x x 1 0 0 0}
{define Bb.             base-fret 1 frets 1 1 3 3 3 1}
{define Bb..            base-fret 1 frets x 1 3 3 3 1}
{define Bb...           base-fret 1 frets x x 0 3 3 1}
{define Bb#5.           base-fret 1 frets x x 0 3 3 2}
{define Bbb5.           base-fret 1 frets x x 0 3 x 0}
{define Bb/A.           base-fret 1 frets 1 1 3 2 3 1}
{define Bb/Ab.          base-fret 1 frets x 1 3 1 3 1}
{define Bb/Ab..         base-fret 1 frets x x 3 3 3 4}
{define Bb/Db.          base-fret 6 frets x x 0 1 1 1}
{define Bb/E.           base-fret 1 frets x 1 3 3 3 0}
{define Bb/G.           base-fret 3 frets 1 3 1 1 1 1}
{define Bb/G..          base-fret 1 frets x x 3 3 3 3}
{define Bb5.            base-fret 6 frets 1 3 3 x x 1}
{define Bb6.            base-fret 3 frets 1 3 1 1 1 1}
{define Bb6..           base-fret 1 frets x x 3 3 3 3}
{define Bb6/add9.       base-fret 1 frets x 3 3 3 3 3}
{define Bb7.            base-fret 1 frets x 1 3 1 3 1}
{define Bb7..           base-fret 1 frets x x 3 3 3 4}
{define Bb7sus4.        base-fret 1 frets x 1 3 1 4 1}
{define Bbadd#11.       base-fret 1 frets x 1 3 3 3 0}
{define Bbaug/E.        base-fret 1 frets 2 x 4 3 3 0}
{define Bbdim/C.        base-fret 1 frets x 3 x 3 2 0}
{define Bbdim/D.        base-fret 1 frets x x 0 3 2 0}
{define Bbdim/G.        base-fret 1 frets x 1 2 0 2 0}
{define Bbdim/G..       base-fret 1 frets x x 2 3 2 3}
{define Bbdim/Gb.       base-fret 1 frets 2 4 2 3 2 2}
{define Bbdim/Gb..      base-fret 1 frets x x 4 3 2 0}
{define Bbdim7.         base-fret 1 frets x 1 2 0 2 0}
{define Bbdim7..        base-fret 1 frets x x 2 3 2 3}
{define Bbm.            base-fret 1 frets 1 1 3 3 2 1}
{define Bbm/Ab.         base-fret 1 frets x 1 3 1 2 1}
{define Bbm/D.          base-fret 6 frets x x 0 1 1 1}
{define Bbm/Gb.         base-fret 1 frets x x 3 3 2 2}
{define Bbm7.           base-fret 1 frets x 1 3 1 2 1}
{define Bbmaj7.         base-fret 1 frets 1 1 3 2 3 1}
{define Bbmaj9.         base-fret 3 frets x 1 1 1 1 3}
{define Bbsus2.         base-fret 1 frets x x 3 3 1 1}
{define Bbsus2/G.       base-fret 3 frets x 1 3 1 4 1}
{define Bbsus4/Ab.      base-fret 1 frets x 1 3 1 4 1}
{define Bdim/A.         base-fret 1 frets 1 2 3 2 3 1}
{define Bdim/A..        base-fret 1 frets x 2 0 2 0 1}
{define Bdim/A...       base-fret 1 frets x x 0 2 0 1}
{define Bdim/Ab.        base-fret 1 frets x 2 0 1 0 1}
{define Bdim/Ab..       base-fret 1 frets x x 0 1 0 1}
{define Bdim/Ab...      base-fret 1 frets x x 3 4 3 4}
{define Bdim/G.         base-fret 1 frets 1 x 0 0 0 3}
{define Bdim/G..        base-fret 1 frets 3 2 0 0 0 1}
{define Bdim/G...       base-fret 1 frets x x 0 0 0 1}
{define Bdim7.          base-fret 1 frets x 2 0 1 0 1}
{define Bdim7..         base-fret 1 frets x x 0 1 0 1}
{define Bdim7...        base-fret 1 frets x x 3 4 3 4}
{define Bm.             base-fret 1 frets 2 2 4 4 3 2}
{define Bm..            base-fret 1 frets x 2 4 4 3 2}
{define Bm...           base-fret 1 frets x x 0 4 3 2}
{define Bm/A.           base-fret 1 frets x 0 4 4 3 2}
{define Bm/A..          base-fret 1 frets x 2 0 2 0 2}
{define Bm/A...         base-fret 1 frets x 2 0 2 3 2}
{define Bm/A....        base-fret 1 frets x 2 4 2 3 2}
{define Bm/A.....       base-fret 1 frets x x 0 2 0 2}
{define Bm/G.           base-fret 1 frets 2 2 0 0 0 3}
{define Bm/G..          base-fret 1 frets 2 2 0 0 3 3}
{define Bm/G...         base-fret 1 frets 3 2 0 0 0 2}
{define Bm/G....        base-fret 1 frets x x 4 4 3 3}
{define Bm7.            base-fret 1 frets x 0 4 4 3 2}
{define Bm7..           base-fret 1 frets x 2 0 2 0 2}
{define Bm7...          base-fret 1 frets x 2 0 2 3 2}
{define Bm7....         base-fret 1 frets x 2 4 2 3 2}
{define Bm7.....        base-fret 1 frets x x 0 2 0 2}
{define Bm7(b5).        base-fret 1 frets 1 2 3 2 3 1}
{define Bm7(b5)..       base-fret 1 frets x 2 0 2 0 1}
{define Bm7(b5)...      base-fret 1 frets x x 0 2 0 1}
{define Bm7/add11.      base-fret 1 frets 0 0 2 4 3 2}
{define Bm7/add11..     base-fret 1 frets 0 2 0 2 0 2}
{define Bmaj7/#11.      base-fret 1 frets x 2 3 3 4 2}
{define Bsus.           base-fret 7 frets 1 3 3 x x 0}
{define Bsus..          base-fret 1 frets x 2 4 4 x 0}
{define Bsus2.          base-fret 1 frets x 4 4 4 x 2}
{define Bsus2..         base-fret 1 frets x x 4 4 2 2}
{define Bsus2/E.        base-fret 1 frets x 4 4 4 x 0}
{define Bsus4/A.        base-fret 1 frets x 0 4 4 0 0}
{define Bsus4/A..       base-fret 2 frets x 1 3 1 4 1}
{define Bsus4/Ab.       base-fret 1 frets 0 2 2 1 0 2}
{define Bsus4/Ab..      base-fret 1 frets 0 x 4 1 0 0}
{define Bsus4/Ab...     base-fret 1 frets 2 2 2 1 0 0}
{define Bsus4/Db.       base-fret 1 frets x 4 4 4 x 0}
{define Bsus4/Eb.       base-fret 1 frets x 2 2 4 4 2}
{define Bsus4/Eb..      base-fret 1 frets x x 4 4 4 0}
{define Bsus4/G.        base-fret 1 frets 0 2 2 0 0 2}
{define Bsus4/G..       base-fret 1 frets 0 2 4 0 0 0}
{define Bsus4/G...      base-fret 1 frets 0 x 4 0 0 0}
{define Bsus4/G....     base-fret 1 frets 2 2 2 0 0 0}
{define C.              base-fret 1 frets 0 3 2 0 1 0}
{define C..             base-fret 3 frets 0 1 3 3 3 1}
{define C...            base-fret 1 frets 3 3 2 0 1 0}
{define C....           base-fret 1 frets 3 x 2 0 1 0}
{define C.....          base-fret 1 frets x 3 2 0 1 0}
{define C......         base-fret 3 frets x 1 3 3 3 0}
{define C#5.            base-fret 1 frets x 3 2 1 1 0}
{define Cb5.            base-fret 4 frets x x 1 2 x 0}
{define C/A.            base-fret 1 frets 0 0 2 0 1 3}
{define C/A..           base-fret 1 frets x 0 2 0 1 0}
{define C/A...          base-fret 1 frets x 0 2 2 1 3}
{define C/A....         base-fret 5 frets x 0 1 1 1 4}
{define C/B.            base-fret 1 frets 0 3 2 0 0 0}
{define C/B..           base-fret 1 frets x 2 2 0 1 0}
{define C/B...          base-fret 3 frets x 1 3 2 4 1}
{define C/Bb.           base-fret 3 frets x 1 3 1 3 1}
{define C/D.            base-fret 1 frets 3 x 0 0 1 0}
{define C/D..           base-fret 1 frets x 3 0 0 1 0}
{define C/D...          base-fret 1 frets x 3 2 0 3 0}
{define C/D....         base-fret 1 frets x 3 2 0 3 3}
{define C/D.....        base-fret 1 frets x x 0 0 1 0}
{define C/D,            base-fre
{define C/D....         base-fret 1 frets x 3 2 0 3 3}
{define C/D.....        base-fret 1 frets x x 0 0 1 0}
{define C/D,            base-fret 3 frets x x 0 3 3 1}
{define C/D,,           base-fret 10 frets x 1 3 3 4 0}
{define C/D,,,          base-fret 5 frets x 1 1 1 x 0}
{define C/F.            base-fret 1 frets x 3 3 0 1 0}
{define C/F..           base-fret 1 frets x x 3 0 1 0}
{define C5.             base-fret 3 frets x 1 3 3 x 1}
{define C6.             base-fret 1 frets 0 0 2 0 1 3}
{define C6..            base-fret 1 frets x 0 2 0 1 0}
{define C6...           base-fret 1 frets x 0 2 2 1 3}
{define C6....          base-fret 5 frets x 0 1 1 1 4}
{define C6/add9.        base-fret 5 frets x 1 3 1 4 0}
{define C7.             base-fret 3 frets x 1 3 1 3 1}
{define C7sus4.         base-fret 3 frets x 1 3 1 4 1}
{define C9(b5).         base-fret 1 frets 0 3 x 3 3 2}
{define Cadd9.          base-fret 1 frets 3 x 0 0 1 0}
{define Cadd9..         base-fret 1 frets x 3 0 0 1 0}
{define Cadd9...        base-fret 1 frets x 3 2 0 3 0}
{define Cadd9....       base-fret 1 frets x 3 2 0 3 3}
{define Cadd9.....      base-fret 1 frets x x 0 0 1 0}
{define Cadd9,          base-fret 3 frets x x 0 3 3 1}
{define Cadd9,,         base-fret 10 frets x 1 3 3 4 0}
{define Cadd9,,,        base-fret 1 frets x 3 2 0 3 0}
{define Cadd9,,,,       base-fret 5 frets x 1 1 1 x 0}
{define Cdim/A.         base-fret 1 frets x x 1 2 1 2}
{define Cdim/Ab.        base-fret 1 frets x x 1 1 1 2}
{define Cdim/Ab..       base-fret 4 frets x x 1 2 1 1}
{define Cdim/D.         base-fret 2 frets x 4 3 4 3 1}
{define Cdim7.          base-fret 1 frets x x 1 2 1 2}
{define Cm.             base-fret 3 frets x 1 3 3 2 1}
{define Cm..            base-fret 3 frets x x 3 3 2 1}
{define Cm/A.           base-fret 1 frets x x 1 2 1 3}
{define Cm/Bb.          base-fret 3 frets x 1 3 1 2 1}
{define Cm6.            base-fret 1 frets x x 1 2 1 3}
{define Cm7.            base-fret 3 frets x 1 3 1 2 1}
{define Cmaj7.          base-fret 1 frets 0 3 2 0 0 0}
{define Cmaj7..         base-fret 1 frets x 2 2 0 1 0}
{define Cmaj7...        base-fret 3 frets x 1 3 2 3 1}
{define Cmaj9.          base-fret 1 frets x 3 0 0 0 0}
{define Csus.           base-fret 1 frets x 3 3 0 1 1}
{define Csus..          base-fret 1 frets x x 3 0 1 1}
{define Csus2.          base-fret 3 frets x 3 3 3 x 1}
{define Csus2..         base-fret 1 frets x 3 0 0 3 3}
{define Csus2...        base-fret 3 frets x 1 3 3 1 1}
{define Csus2/A.        base-fret 1 frets x x 0 2 1 3}
{define Csus2/B.        base-fret 1 frets 3 3 0 0 0 3}
{define Csus2/B..       base-fret 1 frets x 3 0 0 0 3}
{define Csus2/E.        base-fret 1 frets 3 x 0 0 1 0}
{define Csus2/E..       base-fret 1 frets x 3 0 0 1 0}
{define Csus2/E...      base-fret 1 frets x 3 2 0 3 0}
{define Csus2/E....     base-fret 1 frets x 3 2 0 3 3}
{define Csus2/E,        base-fret 1 frets x x 0 0 1 0}
{define Csus2/E,,       base-fret 3 frets x x 0 3 3 1} 
{define Csus2/E,,,      base-fret 10 frets x 1 3 3 4 0}
{define Csus2/E,,,,     base-fret 5 frets x 1 1 1 x 0} 
{define Csus2/F.        base-fret 1 frets 3 3 0 0 1 1} 
{define Csus4/A.        base-fret 1 frets 3 x 3 2 1 1} 
{define Csus4/A..       base-fret 1 frets x x 3 2 1 3} 
{define Csus4/B.        base-fret 1 frets x 3 3 0 0 3} 
{define Csus4/Bb.       base-fret 3 frets x 1 3 1 4 1} 
{define Csus4/D.        base-fret 1 frets 3 3 0 0 1 1} 
{define Csus4/E.        base-fret 1 frets x 3 3 0 1 0} 
{define Csus4/E..       base-fret 1 frets x x 3 0 1 0} 
{define D.              base-fret 2 frets x 4 3 1 2 1} 
{define D..             base-fret 1 frets 2 0 0 2 3 2} 
{define D...            base-fret 1 frets x 0 0 2 3 2} 
{define D....           base-fret 1 frets x 0 4 2 3 2} 
{define D.....          base-fret 1 frets x x 0 2 3 2} 
{define D......         base-fret 5 frets x x 0 3 3 1} 
{define D#5.            base-fret 1 frets x x 0 3 3 2} 
{define D/B.            base-fret 2 frets x 0 3 3 2 1} 
{define D/B..           base-fret 1 frets x 2 0 2 0 2} 
{define D/B...          base-fret 1 frets x 2 0 2 3 2} 
{define D/B....         base-fret 1 frets x 2 4 2 3 2} 
{define D/B.....        base-fret 1 frets x x 0 2 0 2} 
{define D/C.            base-fret 1 frets x 0 0 2 1 2} 
{define D/C..           base-fret 1 frets x 3 x 2 3 2} 
{define D/Db.           base-fret 1 frets x x 0 2 2 2} 
{define D/E.            base-fret 1 frets 0 0 0 2 3 2} 
{define D/E..           base-fret 1 frets 0 0 4 2 3 0} 
{define D/E...          base-fret 1 frets 2 x 0 2 3 0}
{define D/E....         base-fret 1 frets x 0 2 2 3 2}
{define D/E.....        base-fret 1 frets x x 2 2 3 2}
{define D/E......       base-fret 2 frets x 4 3 1 2 0}
{define D/E.......      base-fret 7 frets x 3 3 1 x 0}
{define D/G.            base-fret 3 frets 3 x 2 0 1 3}
{define D/G..           base-fret 1 frets 3 x 0 2 3 2}
{define D5.             base-fret 5 frets 1 1 3 3 x 1}
{define D5..            base-fret 2 frets x 0 0 1 2 4}
{define D6.             base-fret 1 frets x 0 4 4 3 2}
{define D6..            base-fret 1 frets x 2 0 2 0 2}
{define D6...           base-fret 1 frets x 2 4 2 3 2}
{define D6....          base-fret 1 frets x x 0 2 0 2}
{define D6/add9.        base-fret 1 frets 0 0 2 4 3 2}
{define D6/add9..       base-fret 1 frets 0 2 0 2 0 2}
{define D7.             base-fret 1 frets x 0 0 2 1 2}
{define D7..            base-fret 1 frets x 3 x 2 3 2}
{define D7...           base-fret 5 frets x 1 3 1 3 1}
{define D7sus4.         base-fret 1 frets x x 0 2 1 3}
{define D9.             base-fret 1 frets 0 0 0 2 1 2}
{define D9..            base-fret 1 frets 2 x 0 2 1 0}
{define D9...           base-fret 5 frets x 1 3 1 3 0}
{define D9(#5).         base-fret 1 frets 0 3 x 3 3 2}
{define Dadd9.          base-fret 1 frets 0 0 0 2 3 2}
{define Dadd9..         base-fret 1 frets 0 0 4 2 3 0}
{define Dadd9...        base-fret 1 frets 2 x 0 2 3 0}
{define Dadd9....       base-fret 1 frets x 0 2 2 3 2}
{define Dadd9,          base-fret 1 frets x x 2 2 3 2}
{define Dadd9,,         base-fret 2 frets x 4 3 1 2 0}
{define Dadd9,,,        base-fret 7 frets x 3 1 1 x 0}
{define Daug/E.         base-fret 1 frets 2 x 4 3 3 0}
{define Db.             base-fret 4 frets 1 1 3 3 3 1}
{define Db..            base-fret 1 frets x 4 3 1 2 1}
{define Db...           base-fret 4 frets x 1 3 3 3 1}
{define Db....          base-fret 1 frets x x 3 1 2 1}
{define Db.....         base-fret 4 frets x x 3 3 3 1}
{define Db#5.           base-fret 1 frets x 0 3 2 2 1}
{define Db#5..          base-fret 1 frets x 0 x 2 2 1}
{define Dbb5.           base-fret 1 frets x x 3 0 2 1}
{define Db/B.           base-fret 1 frets x 4 3 4 0 4}
{define Db/Bb.          base-fret 1 frets x 1 3 1 2 1}
{define Db/C.           base-fret 1 frets x 3 3 1 2 1}
{define Db/C..          base-fret 4 frets x 1 3 2 3 1}
{define Db5.            base-fret 4 frets x 1 3 3 x 1}
{define Db6.            base-fret 1 frets x 1 3 1 2 1}
{define Db7.            base-fret 1 frets x 4 3 4 0 4}
{define Dbaug/D.        base-fret 1 frets x x 0 2 2 1}
{define Dbaug/G.        base-fret 1 frets 1 0 3 0 2 1}
{define Dbdim/A.        base-fret 1 frets 3 x 2 2 2 0}
{define Dbdim/A..       base-fret 1 frets x 0 2 0 2 0}
{define Dbdim/A...      base-fret 1 frets x 0 2 2 2 3}
{define Dbdim/B.        base-fret 1 frets 0 2 2 0 2 0}
{define Dbdim/Bb.       base-fret 1 frets x 1 2 0 2 0}
{define Dbdim/Bb..      base-fret 1 frets x x 2 3 2 3}
{define Dbdim/D.        base-fret 1 frets 3 x 0 0 2 0}
{define Dbdim/D..       base-fret 1 frets x x 0 0 2 0}
{define Dbdim7.         base-fret 1 frets x 1 2 0 2 0}
{define Dbdim7..        base-fret 1 frets x x 2 3 2 3}
{define Dbm.            base-fret 4 frets x 1 3 3 2 1}
{define Dbm..           base-fret 1 frets x x 2 1 2 0}
{define Dbm...          base-fret 4 frets x 1 3 3 x 0}
{define Dbm/A.          base-fret 1 frets x 0 2 1 2 0}
{define Dbm/B.          base-fret 1 frets 0 2 2 1 2 0}
{define Dbm/B..         base-fret 4 frets x 1 3 1 2 1}
{define Dbm7.           base-fret 1 frets 0 2 2 1 2 0}
{define Dbm7..          base-fret 4 frets x 1 3 1 2 1}
{define Dbm7(b5).       base-fret 1 frets 0 2 2 0 2 0}
{define Dbmaj7.   s 0 2 2 1 2 0}
{define Dbm7..          base-fret 4 frets x 1 3 1 2 1}
{define Dbm7(b5).       base-fret 1 frets 0 2 2 0 2 0}
{define Dbmaj7.         base-fret 1 frets x 3 3 1 2 1}
{define Dbmaj7..        base-fret 4 frets x 1 3 2 3 1}
{define Dbsus2.         base-fret 4 frets x x 3 3 1 1}
{define Dbsus4/Bb.      base-fret 1 frets x x 4 3 2 4}
{define Ddim/B.         base-fret 1 frets x 2 0 1 0 1}
{define Ddim/B..        base-fret 1 frets x x 0 1 0 1}
{define Ddim/B...       base-fret 1 frets x x 3 4 3 4}
